year,Amanda,Ashley
1880,241,0
1881,263,0
1882,288,0
1883,287,0
1884,337,0
1885,339,0
1886,370,0
1887,338,0
1888,404,0
1889,413,0
1890,392,0
1891,371,0
1892,455,0
1893,387,0
1894,418,0
1895,431,0
1896,367,0
1897,354,0
1898,371,0
1899,326,0
1900,377,0
1901,317,0
1902,301,0
1903,247,0
1904,294,0
1905,311,0
1906,260,0
1907,285,0
1908,260,0
1909,271,0
1910,278,0
1911,280,0
1912,310,0
1913,346,0
1914,375,0
1915,412,0
1916,421,0
1917,445,5
1918,397,0
1919,379,0
1920,379,0
1921,392,0
1922,341,0
1923,362,0
1924,341,0
1925,310,0
1926,310,0
1927,234,0
1928,247,0
1929,209,0
1930,196,0
1931,209,0
1932,213,0
1933,199,0
1934,189,0
1935,211,0
1936,192,0
1937,176,0
1938,192,7
1939,185,0
1940,218,0
1941,223,6
1942,295,8
1943,284,10
1944,238,12
1945,280,10
1946,274,7
1947,310,11
1948,306,13
1949,333,11
1950,379,15
1951,409,15
1952,418,24
1953,428,15
1954,428,21
1955,452,8
1956,643,25
1957,667,27
1958,796,38
1959,858,37
1960,977,57
1961,1057,80
1962,948,95
1963,1035,108
1964,1275,180
1965,1650,218
1966,2329,263
1967,2663,386
1968,2430,544
1969,2817,643
1970,3550,932
1971,4133,1164
1972,4181,1176
1973,5627,1253
1974,7476,1626
1975,12653,1988
1976,15591,2292
1977,18280,2706
1978,20522,3484
1979,31927,4450
1980,35819,7296
1981,34373,8877
1982,34210,14851
1983,33754,33290
1984,33906,38759
1985,39050,47007
1986,40522,49674
1987,41786,54845
1988,39451,49963
1989,36827,47585
1990,34405,45553
1991,28887,43482
1992,25034,38452
1993,20809,34847
1994,18715,30278
1995,16345,26603
1996,13973,23676
1997,12239,20895
1998,10908,19871
1999,9741,18132
2000,8550,17997
2001,6963,16524
2002,6132,15339
2003,5339,14512
2004,4677,14370
2005,4088,13270
2006,3355,12340
2007,3038,11423
2008,2439,9402
2009,1952,7811
2010,1655,6306
2011,1409,5398
2012,1228,4696
2013,1064,3936
2014,1048,3547
2015,1013,3409
